AdsetId;AdvertiserId;Placement;Environment;AdsetName;AdvertiserName;CampaignId;CampaignName;Currency;clicks;displays;cost;salesPc30d;salesPv1d;revenuePc30d;revenuePv1d;cosPc30d;cosPv1d;roasPc30d;roasPv1d;cpoPc30d;cpoPv1d;cvrPc30d;cvrPv1d
3021;1138;auto-moto.com;web;dis-conv_retargeting_x_france_x_x_x_x_fr_display_iab_x_x_x_x_oa_bd_retargeting_allaudiences_x;Belles Demeures FR;15028;dis-conv_seeker-luxury_bd_b2c_criteo_retargeting_x_x_france_x_x_x_fr_x_display_iab_x;EUR;34;1653;1.37;0;3;0;4575000;0;0;0;3339197.4;0;0.46;0;0.0882
3021;1138;lejournaldelamaison.fr;web;dis-conv_retargeting_x_france_x_x_x_x_fr_display_iab_x_x_x_x_oa_bd_retargeting_allaudiences_x;Belles Demeures FR;15028;dis-conv_seeker-luxury_bd_b2c_criteo_retargeting_x_x_france_x_x_x_fr_x_display_iab_x;EUR;27;1646;0.62;1;1;850000;1450000;0;0;1369989.41;2337040.76;0.62;0.62;0.037;0.037
3021;1138;MiuiApp;app;dis-conv_retargeting_x_france_x_x_x_x_fr_display_iab_x_x_x_x_oa_bd_retargeting_allaudiences_x;Belles Demeures FR;15028;dis-conv_seeker-luxury_bd_b2c_criteo_retargeting_x_x_france_x_x_x_fr_x_display_iab_x;EUR;66;1639;1.58;4;3;7749000;5900000;0;0;4901234.41;3731743.84;0.4;0.53;0.0606;0.0455
3021;1138;ebay.fr;web;dis-conv_retargeting_x_france_x_x_x_x_fr_display_iab_x_x_x_x_oa_bd_retargeting_allaudiences_x;Belles Demeures FR;15028;dis-conv_seeker-luxury_bd_b2c_criteo_retargeting_x_x_france_x_x_x_fr_x_display_iab_x;EUR;45;1618;1.96;2;0;10180000;0;0;0;5182361.48;0;0.98;0;0.0444;0
3021;1138;programme-television.org;web;dis-conv_retargeting_x_france_x_x_x_x_fr_display_iab_x_x_x_x_oa_bd_retargeting_allaudiences_x;Belles Demeures FR;15028;dis-conv_seeker-luxury_bd_b2c_criteo_retargeting_x_x_france_x_x_x_fr_x_display_iab_x;EUR;69;1614;2.78;3;3;2990000;3460000;0;0;1075748.33;1244845.9;0.93;0.93;0.0435;0.0435
3021;1138;Woodoku - Wood Block Puzzle;app;dis-conv_retargeting_x_france_x_x_x_x_fr_display_iab_x_x_x_x_oa_bd_retargeting_allaudiences_x;Belles Demeures FR;15028;dis-conv_seeker-luxury_bd_b2c_criteo_retargeting_x_x_france_x_x_x_fr_x_display_iab_x;EUR;139;1587;9.63;8;6;63260899;61339999;0;0;6569521.35;6370039.62;1.2;1.6;0.0576;0.0432
3021;1138;leprogres.fr;web;dis-conv_retargeting_x_france_x_x_x_x_fr_display_iab_x_x_x_x_oa_bd_retargeting_allaudiences_x;Belles Demeures FR;15028;dis-conv_seeker-luxury_bd_b2c_criteo_retargeting_x_x_france_x_x_x_fr_x_display_iab_x;EUR;90;1579;4.2;10;2;61956400;56098000;0;0;14734345.11;13341112.33;0.42;2.1;0.1111;0.0222
3021;1138;laplasturgie.fr;web;dis-conv_retargeting_x_france_x_x_x_x_fr_display_iab_x_x_x_x_oa_bd_retargeting_allaudiences_x;Belles Demeures FR;15028;dis-conv_seeker-luxury_bd_b2c_criteo_retargeting_x_x_france_x_x_x_fr_x_display_iab_x;EUR;34;1566;1.56;2;1;10390000;8900000;0;0;6670491.63;5713895.62;0.78;1.56;0.0588;0.0294
3021;1138;ividence.com;web;dis-conv_retargeting_x_france_x_x_x_x_fr_display_iab_x_x_x_x_oa_bd_retargeting_allaudiences_x;Belles Demeures FR;15028;dis-conv_seeker-luxury_bd_b2c_criteo_retargeting_x_x_france_x_x_x_fr_x_display_iab_x;EUR;5;1549;0.76;2;1;1750000;870000;0;0;2288052.66;1137489.03;0.38;0.76;0.4;0.2
3021;1138;Foot Mercato : Transferts live;app;dis-conv_retargeting_x_france_x_x_x_x_fr_display_iab_x_x_x_x_oa_bd_retargeting_allaudiences_x;Belles Demeures FR;15028;dis-conv_seeker-luxury_bd_b2c_criteo_retargeting_x_x_france_x_x_x_fr_x_display_iab_x;EUR;78;1545;1.91;3;3;2758000;2758000;0;0;1445765.78;1445765.78;0.64;0.64;0.0385;0.0385
